time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low
1576022400,651,1117,649,619.1985999999996,-318.64669999999967,300.502400000001,3252,4486,2630,2565.261899999993,-1710.2429999999995,856.6429999999979,BTC,7233.84,7212.01,7284.74,7167.13
1576108800,641,1095,611,611.4028999999998,-317.3165999999994,294.017700000001,2714,4542,2593,2485.9300999999996,-1335.9133000000006,1149.7196999999987,BTC,7212.01,7199.39,7307.96,7105.35
1576195200,611,1160,605,636.6052000000009,-291.28699999999986,345.31739999999996,2783,4785,2593,2647.325499999993,-1381.3473999999978,1266.210800000002,BTC,7199.39,7261.72,7308.08,7199.39
1576281600,559,936,528,512.7711000000004,-272.06500000000005,240.4305000000002,2775,4850,2858,2621.5465000000004,-1440.3980000000006,1179.404999999998,BTC,7261.72,7080.29,7283.78,7033.14
1576368000,630,1149,586,637.623700000001,-308.6155999999997,328.91080000000085,3510,4626,2493,2524.589099999998,-1909.8728000000006,614.5342000000028,BTC,7080.29,7132.39,7204.93,7030.37
1576454400,1105,1591,797,880.1204000000017,-564.2472000000005,315.76770000000016,5342,6965,3440,3742.5828999999853,-2831.254699999995,909.8797000000003,BTC,7132.39,6897.33,7172.46,6869.19
1576540800,1060,1474,917,806.3495000000024,-536.9307999999996,269.3280999999999,4994,6620,3802,3717.0472999999874,-2548.968999999998,1169.1065000000071,BTC,6897.33,6635.84,6948.12,6585.46
1576627200,804,1386,863,760.0697000000007,-399.6788999999993,360.42580000000066,4070,5831,3396,3234.8420999999844,-2126.856799999997,1107.4516,BTC,6635.84,7294.53,7442.26,6450.69
1576713600,691,1159,709,654.1414000000005,-332.2426,322.28170000000017,2758,5311,2581,3135.2929999999933,-1291.7978999999998,1844.8168999999994,BTC,7294.53,7159.26,7376.98,7057.66
1576800000,636,1178,659,652.7376999999997,-308.3753,344.52679999999987,2850,5024,2863,2774.19279999999,-1461.103200000002,1312.973099999999,BTC,7159.26,7203.41,7234.56,7094.06
1576886400,453,924,564,495.30260000000004,-214.47089999999974,280.9009000000007,2069,3999,2781,2154.2084,-964.3162000000005,1189.9491999999987,BTC,7203.41,7159.47,7213.86,7132.82
1576972800,364,675,377,372.0625000000007,-176.78230000000002,195.23679999999996,1481,2562,1514,1437.6657,-698.1934999999993,739.2799000000018,BTC,7159.47,7517.58,7527.4,7143.17
1577059200,602,1074,628,592.6268000000003,-290.95290000000006,301.8726000000003,2725,4786,2497,2613.5835999999945,-1382.3983999999994,1230.3450999999977,BTC,7517.58,7326.6,7694.65,7275.28
1577145600,560,1001,581,547.8022999999995,-277.7492999999999,270.46910000000025,2283,3677,2233,2059.576599999999,-1081.7734000000028,979.3878999999989,BTC,7326.6,7260.91,7429.42,7175.5
1577232000,555,884,550,482.6376999999991,-269.15999999999997,213.50110000000024,2373,3733,2303,2060.514299999998,-1152.699200000002,907.3617000000015,BTC,7260.91,7202.72,7280.52,7132.3
1577318400,810,1335,859,737.7094000000012,-408.0309999999994,329.5363999999996,4451,5797,3349,3095.8959999999915,-2292.568399999998,802.4812999999989,BTC,7202.72,7207.23,7442.21,7167.44
1577404800,526,938,588,509.66290000000055,-237.54459999999997,272.33070000000066,2315,4014,2090,2228.172699999997,-1032.1892999999989,1197.6486999999995,BTC,7207.23,7253.82,7267.46,7061.61
1577491200,455,844,467,436.83289999999977,-219.3808000000001,217.3810000000002,2019,3377,2118,1771.2562999999982,-1029.7500000000018,741.4628000000002,BTC,7253.82,7316.23,7368.09,7253.61
1577577600,519,920,526,494.1920999999992,-255.0396999999997,239.13430000000068,1988,3726,1982,1995.254800000005,-994.8729999999991,1000.7553000000007,BTC,7316.23,7399.49,7540.65,7295.33
1577664000,610,1175,699,660.4919999999995,-286.0467000000001,374.4844000000004,3443,5313,3164,3033.8224000000005,-1570.4319000000012,1464.6430999999964,BTC,7399.49,7234.44,7414.07,7224.79
1577750400,666,1108,626,597.7824999999998,-334.67040000000037,263.0812000000001,2877,4923,2798,2748.0779999999877,-1487.9137999999996,1259.3074999999997,BTC,7234.44,7183.88,7325.24,7141.94
1577836800,530,937,607,510.3162000000006,-246.27929999999984,264.1110000000002,2575,4383,2475,2373.693199999991,-1247.2358999999985,1126.5138000000027,BTC,7183.88,7189.94,7267.16,7171.82
1577923200,793,1283,743,713.4778000000005,-394.9854000000001,318.92989999999986,3281,5167,2675,2979.8904999999863,-1675.5372999999972,1304.713600000003,BTC,7189.94,6965.72,7224.84,6945.83
1578009600,892,1422,854,780.9216000000018,-437.9721999999998,343.2989999999999,4606,7177,3591,3899.9019999999878,-2328.912199999997,1569.8264000000063,BTC,6965.72,7339.7,7407.11,6882.62
1578096000,710,1149,729,615.9888,-353.75939999999974,262.45930000000004,3201,4763,3104,2560.3663999999926,-1523.4178000000006,1035.203100000002,BTC,7339.7,7357.5,7405.75,7278.6
1578182400,823,1293,849,700.8656000000007,-401.7405000000004,299.0129999999996,4852,5861,4440,3081.14659999999,-2147.6078,934.8466000000014,BTC,7357.5,7359.96,7501.42,7330.07
1578268800,611,982,694,525.3382999999997,-301.0456999999999,224.38080000000036,2492,4551,3011,2391.4816999999935,-1236.585600000002,1155.1066000000014,BTC,7359.96,7762.69,7799.63,7355.11
1578355200,957,1640,1012,887.429100000003,-451.4109000000001,436.2474999999995,4954,9096,5556,5079.5949,-2252.058399999994,2828.0732999999937,BTC,7762.69,8160.36,8218.63,7736.57
1578441600,747,1394,799,764.9612999999989,-350.61060000000015,414.10400000000067,2900,5432,2890,2953.218999999998,-1408.3415999999995,1543.6159000000023,BTC,8160.36,8045.15,8458.65,7873.97
1578528000,485,997,549,554.3766999999998,-222.80599999999987,331.6943999999999,2197,4504,2032,2582.012199999997,-1075.9239000000005,1507.3773999999985,BTC,8045.15,7817.35,8047.11,7757.04
1578614400,702,1178,746,629.1914000000007,-347.0539999999998,282.2352999999993,3179,5209,2847,2773.2095,-1668.3275999999996,1104.5359999999998,BTC,7817.35,8190.31,8192.05,7682.56
1578700800,670,1155,670,636.4485999999994,-333.9228999999996,302.3296000000007,3414,5362,3526,2949.6473999999916,-1817.1595000000007,1131.0032999999992,BTC,8190.31,8024.58,8287.42,8003.87
1578787200,521,967,652,545.0232999999996,-240.3683999999998,304.69500000000073,2742,4207,2611,2350.3759999999984,-1389.9590000000019,960.5414999999956,BTC,8024.58,8181.49,8185.14,7968.4
1578873600,608,1211,632,705.4845999999976,-290.2763000000001,415.03379999999896,2852,5021,2519,3075.309999999993,-1357.9529000000018,1718.8015000000073,BTC,8181.49,8106.56,8200.4,8057.37
1578960000,1039,1738,1125,948.1669000000006,-514.6867,433.74299999999994,5001,8449,5351,4563.64090000001,-2476.203799999999,2088.9591999999984,BTC,8106.56,8820.95,8874.07,8106.4
1579046400,830,1488,865,781.628700000001,-380.8494000000002,401.0231999999992,3454,6187,3354,3107.3149999999873,-1586.394699999998,1523.3216000000023,BTC,8820.95,8813.21,8890.04,8559.93
1579132800,741,1479,800,818.044699999999,-345.77579999999983,472.5421000000015,3412,7159,3634,4127.696599999984,-1579.4895,2550.519699999991,BTC,8813.21,8719.63,8846.78,8586.56
1579219200,840,1487,878,822.2208000000016,-399.3734000000001,422.88529999999815,4547,7375,4670,3953.164699999989,-2161.9630000000006,1790.9636999999962,BTC,8719.63,8894.83,9004.35,8665.99
1579305600,709,1115,762,595.6280999999996,-348.82609999999977,246.7655000000001,3322,4915,3182,2633.6820999999986,-1607.1878,1024.7280000000005,BTC,8894.83,8909.28,8974.65,8807.26
