time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label
1580083200,42,88,65,48.00710000000001,-18.7432,29.2897,195,367,264,225.59450000000004,-90.57739999999997,135.06869999999986,LTC,56.15,58.4,60.67,57.55,1
1580169600,43,90,86,45.27059999999999,-17.051099999999998,28.09810000000001,154,404,296,196.65590000000003,-67.1364,129.11129999999994,LTC,58.4,60.84,63.54,60.46,-1
1580256000,39,99,70,59.62559999999999,-19.7269,39.89870000000001,138,387,261,241.80840000000006,-68.46130000000001,173.34710000000007,LTC,60.84,59.91,62.51,59.69,1
1580342400,62,173,147,88.06669999999987,-21.036700000000007,67.05319999999998,287,936,714,457.89660000000015,-103.02759999999998,354.9154000000001,LTC,59.91,67.84,70.02,60.04,1
1580428800,21,100,54,54.20529999999998,-10.3721,43.8141,67,499,239,271.2711,-33.6453,237.56849999999991,LTC,67.84,67.86,69.38,66.27,1
1580515200,70,147,95,84.57429999999991,-31.78219999999999,52.87359999999998,325,692,407,401.55850000000015,-145.26369999999997,257.76820000000026,LTC,67.86,70.75,72.65,67.79,-1
1580601600,36,80,50,43.30310000000001,-16.019099999999995,27.322199999999995,133,418,178,213.6417,-65.22189999999999,148.49619999999996,LTC,70.75,69.93,72.63,68.44,-1
1580688000,56,92,51,50.47149999999998,-25.440100000000005,25.041600000000006,207,411,184,237.379,-96.78150000000004,140.9377000000001,LTC,69.93,69.57,71.02,68.67,-1
1580774400,62,94,54,47.12710000000001,-28.9343,18.264400000000013,223,380,161,191.76739999999992,-101.2964,90.55699999999986,LTC,69.57,67.89,69.46,66.42,1
1580860800,28,92,58,45.16059999999998,-11.6702,33.438799999999986,163,554,287,287.7860999999998,-67.45239999999997,220.12729999999996,LTC,67.89,72.64,74.29,70.59,1
1580947200,58,104,76,55.747799999999984,-29.3346,26.483400000000003,280,479,300,257.99799999999993,-122.47040000000004,135.46159999999986,LTC,72.64,73.5,75.72,72.24,1
1581033600,25,70,52,40.02309999999999,-11.243500000000004,28.812100000000008,111,288,254,153.2835,-47.08709999999999,106.36459999999998,LTC,73.5,74.45,75.56,73.19,1
1581120000,23,123,72,69.6893,-9.4227,60.26659999999998,88,557,467,313.56970000000007,-38.73440000000001,274.8353000000001,LTC,74.45,76.54,78.43,73.17,1
